sample_idx,sigma_group,decision_boundary_abs_distance,true_class,true_label,predicted_class,predicted_label,is_correct,probability_raw_bad_probability,probability_raw_good_probability,bad_prediction_confidence,feature_duration,feature_credit_amount,feature_installment_commitment,feature_age,feature_existing_credits,feature_checking_status_0<=X<200,feature_checking_status_<0,feature_checking_status_>=200,feature_checking_status_no checking,feature_credit_history_all paid,feature_credit_history_critical/other existing credit,feature_credit_history_delayed previously,feature_credit_history_existing paid,feature_credit_history_no credits/all paid,feature_purpose_business,feature_purpose_domestic appliance,feature_purpose_education,feature_purpose_furniture/equipment,feature_purpose_new car,feature_purpose_other,feature_purpose_radio/tv,feature_purpose_repairs,feature_purpose_retraining,feature_purpose_used car,feature_savings_status_100<=X<500,feature_savings_status_500<=X<1000,feature_savings_status_<100,feature_savings_status_>=1000,feature_savings_status_no known savings,feature_employment_1<=X<4,feature_employment_4<=X<7,feature_employment_<1,feature_employment_>=7,feature_employment_unemployed,feature_housing_for free,feature_housing_own,feature_housing_rent,feature_job_high qualif/self emp/mgmt,feature_job_skilled,feature_job_unemp/unskilled non res,feature_job_unskilled resident,feature_Sex,feature_Married
182,within_1sigma,0.0024512917003814,0,GOOD CREDIT RISK,0,GOOD CREDIT RISK,True,0.5575487082996186,0.4424512917003814,0.5575487082996186,15.0,1905.0,4.0,40.0,1.0,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,True,False,False,False,True,False
97,within_1sigma,0.0032412578469666,1,BAD CREDIT RISK,1,BAD CREDIT RISK,True,0.5632412578469667,0.4367587421530333,0.5632412578469667,27.0,3915.0,4.0,36.0,1.0,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False,False,True,False
120,within_1sigma,0.0035066608658373,0,GOOD CREDIT RISK,0,GOOD CREDIT RISK,True,0.5564933391341627,0.4435066608658373,0.5564933391341627,24.0,2892.0,3.0,51.0,1.0,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,True,False,False,True,False
40,within_1sigma,0.0035257468436873,1,BAD CREDIT RISK,1,BAD CREDIT RISK,True,0.5635257468436874,0.4364742531563126,0.5635257468436874,15.0,3959.0,3.0,29.0,1.0,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True
116,within_1sigma,0.0037517375620413,1,BAD CREDIT RISK,1,BAD CREDIT RISK,True,0.5637517375620414,0.4362482624379585,0.5637517375620414,45.0,3031.0,4.0,21.0,1.0,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,True,False
152,within_1sigma,0.0144578494344612,0,GOOD CREDIT RISK,0,GOOD CREDIT RISK,True,0.5455421505655388,0.4544578494344612,0.5455421505655388,12.0,625.0,4.0,26.0,1.0,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,True,True
138,within_1sigma,0.0159280806317334,0,GOOD CREDIT RISK,0,GOOD CREDIT RISK,True,0.5440719193682666,0.4559280806317334,0.5440719193682666,20.0,4272.0,1.0,24.0,2.0,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,True
25,within_1sigma,0.0205414549294182,0,GOOD CREDIT RISK,0,GOOD CREDIT RISK,True,0.5394585450705818,0.4605414549294182,0.5394585450705818,18.0,3872.0,2.0,67.0,1.0,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,True
62,within_1sigma,0.0226191923305983,0,GOOD CREDIT RISK,0,GOOD CREDIT RISK,True,0.5373808076694017,0.4626191923305983,0.5373808076694017,30.0,6187.0,1.0,24.0,2.0,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,True,True
132,within_1sigma,0.0253414865108124,0,GOOD CREDIT RISK,0,GOOD CREDIT RISK,True,0.5346585134891876,0.4653414865108124,0.5346585134891876,39.0,11760.0,2.0,32.0,1.0,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,True,False
139,within_1sigma,0.0263154680696685,0,GOOD CREDIT RISK,0,GOOD CREDIT RISK,True,0.5336845319303315,0.4663154680696685,0.5336845319303315,12.0,1289.0,4.0,21.0,1.0,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,True,True,False
144,within_1sigma,0.0279225547237862,0,GOOD CREDIT RISK,0,GOOD CREDIT RISK,True,0.5320774452762138,0.4679225547237862,0.5320774452762138,15.0,2631.0,3.0,25.0,1.0,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True
65,within_1sigma,0.0280087683844361,0,GOOD CREDIT RISK,0,GOOD CREDIT RISK,True,0.5319912316155639,0.468008768384436,0.5319912316155639,12.0,1330.0,4.0,26.0,1.0,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False,True,False
53,within_1sigma,0.028506404952592,1,BAD CREDIT RISK,1,BAD CREDIT RISK,True,0.5885064049525921,0.4114935950474079,0.5885064049525921,48.0,5951.0,2.0,22.0,1.0,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True
14,within_1sigma,0.0287777677020654,1,BAD CREDIT RISK,1,BAD CREDIT RISK,True,0.5887777677020655,0.4112222322979345,0.5887777677020655,18.0,2124.0,4.0,24.0,2.0,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,True
58,within_1sigma,0.0295079719206117,1,BAD CREDIT RISK,1,BAD CREDIT RISK,True,0.5895079719206118,0.4104920280793882,0.5895079719206118,18.0,4297.0,4.0,40.0,1.0,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,True,False,False,False,True,False
141,within_1sigma,0.0298579965989745,1,BAD CREDIT RISK,1,BAD CREDIT RISK,True,0.5898579965989746,0.4101420034010253,0.5898579965989746,36.0,10974.0,4.0,26.0,2.0,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,True
5,within_1sigma,0.0313272846318177,0,GOOD CREDIT RISK,0,GOOD CREDIT RISK,True,0.5286727153681823,0.4713272846318177,0.5286727153681823,13.0,882.0,4.0,23.0,2.0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False,True,False
98,within_1sigma,0.0465914679789091,0,GOOD CREDIT RISK,0,GOOD CREDIT RISK,True,0.5134085320210909,0.486591467978909,0.5134085320210909,12.0,7472.0,1.0,24.0,1.0,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False,True
128,within_1sigma,0.049016661210503,0,GOOD CREDIT RISK,0,GOOD CREDIT RISK,True,0.510983338789497,0.489016661210503,0.510983338789497,24.0,3758.0,1.0,23.0,1.0,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,True
155,within_1sigma,0.0516789827299405,0,GOOD CREDIT RISK,0,GOOD CREDIT RISK,True,0.5083210172700595,0.4916789827299405,0.5083210172700595,12.0,6078.0,2.0,32.0,1.0,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False
6,within_1sigma,0.0574048310135797,0,GOOD CREDIT RISK,0,GOOD CREDIT RISK,True,0.5025951689864203,0.4974048310135797,0.5025951689864203,18.0,3612.0,3.0,37.0,1.0,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,True
129,within_1sigma,0.0582427884030661,1,BAD CREDIT RISK,1,BAD CREDIT RISK,True,0.6182427884030662,0.3817572115969337,0.6182427884030662,12.0,2149.0,4.0,29.0,1.0,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False
16,within_1sigma,0.0583847160627419,0,GOOD CREDIT RISK,0,GOOD CREDIT RISK,True,0.5016152839372581,0.4983847160627419,0.5016152839372581,16.0,1175.0,2.0,68.0,3.0,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,True,False,True,False
86,within_1sigma,0.0604804991213991,0,GOOD CREDIT RISK,0,GOOD CREDIT RISK,True,0.4995195008786009,0.5004804991213991,0.4995195008786009,18.0,1113.0,4.0,26.0,1.0,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True
184,within_1sigma,0.0610356637630588,0,GOOD CREDIT RISK,0,GOOD CREDIT RISK,True,0.4989643362369412,0.5010356637630589,0.4989643362369412,18.0,1936.0,2.0,23.0,2.0,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,True,True,True
124,within_1sigma,0.0664716764573764,0,GOOD CREDIT RISK,0,GOOD CREDIT RISK,True,0.4935283235426236,0.5064716764573765,0.4935283235426236,24.0,5152.0,4.0,25.0,1.0,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False
179,within_1sigma,0.0683021759649713,0,GOOD CREDIT RISK,0,GOOD CREDIT RISK,True,0.4916978240350287,0.5083021759649713,0.4916978240350287,42.0,4796.0,4.0,56.0,1.0,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,True,False,False,False,True,False,False,True,False
115,within_1sigma,0.0716847883959179,1,BAD CREDIT RISK,1,BAD CREDIT RISK,True,0.631684788395918,0.368315211604082,0.631684788395918,12.0,1108.0,4.0,28.0,2.0,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False
91,within_1sigma,0.0744410828398919,1,BAD CREDIT RISK,1,BAD CREDIT RISK,True,0.634441082839892,0.365558917160108,0.634441082839892,15.0,1275.0,4.0,24.0,1.0,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,True,False,False,False,True
172,within_1sigma,0.0810162899963345,0,GOOD CREDIT RISK,0,GOOD CREDIT RISK,True,0.4789837100036655,0.5210162899963344,0.4789837100036655,11.0,1577.0,4.0,20.0,1.0,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True,False,False,False,True
78,within_1sigma,0.0855990876064013,1,BAD CREDIT RISK,1,BAD CREDIT RISK,True,0.6455990876064014,0.3544009123935986,0.6455990876064014,24.0,1823.0,4.0,30.0,1.0,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,True,False,False,False,True,False
188,within_1sigma,0.0896157776233788,0,GOOD CREDIT RISK,0,GOOD CREDIT RISK,True,0.4703842223766212,0.5296157776233787,0.4703842223766212,9.0,1364.0,3.0,59.0,1.0,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False
93,within_1sigma,0.0943220111003175,0,GOOD CREDIT RISK,0,GOOD CREDIT RISK,True,0.4656779888996825,0.5343220111003175,0.4656779888996825,36.0,10875.0,2.0,45.0,2.0,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False
167,within_1sigma,0.0948572354485004,1,BAD CREDIT RISK,1,BAD CREDIT RISK,True,0.6548572354485005,0.3451427645514995,0.6548572354485005,12.0,6199.0,4.0,28.0,2.0,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,True,False,False,True,False
127,within_1sigma,0.0967894906869194,0,GOOD CREDIT RISK,0,GOOD CREDIT RISK,True,0.4632105093130806,0.5367894906869193,0.4632105093130806,21.0,3652.0,2.0,27.0,2.0,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False
191,within_1sigma,0.1008415885504872,1,BAD CREDIT RISK,1,BAD CREDIT RISK,True,0.6608415885504872,0.3391584114495127,0.6608415885504872,24.0,1246.0,4.0,23.0,1.0,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,True,False
89,within_1sigma,0.1014524869866036,0,GOOD CREDIT RISK,0,GOOD CREDIT RISK,True,0.4585475130133964,0.5414524869866035,0.4585475130133964,24.0,2032.0,4.0,60.0,2.0,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,True,False,False,True,False
135,within_1sigma,0.1015997290710549,1,BAD CREDIT RISK,1,BAD CREDIT RISK,True,0.661599729071055,0.338400270928945,0.661599729071055,18.0,976.0,1.0,23.0,1.0,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,True
143,within_1sigma,0.1027954598010458,0,GOOD CREDIT RISK,0,GOOD CREDIT RISK,True,0.4572045401989542,0.5427954598010458,0.4572045401989542,27.0,2442.0,4.0,43.0,4.0,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,True,False,False,False,True,False
7,within_1sigma,0.10525959940877,0,GOOD CREDIT RISK,0,GOOD CREDIT RISK,True,0.45474040059123,0.5452595994087699,0.45474040059123,6.0,1352.0,1.0,23.0,1.0,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,True
47,within_1sigma,0.10888849753959,1,BAD CREDIT RISK,1,BAD CREDIT RISK,True,0.6688884975395901,0.3311115024604099,0.6688884975395901,30.0,4280.0,4.0,26.0,2.0,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True
52,within_1sigma,0.1118374385814886,0,GOOD CREDIT RISK,0,GOOD CREDIT RISK,True,0.4481625614185114,0.5518374385814886,0.4481625614185114,24.0,6615.0,2.0,75.0,2.0,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,True,False,False,True,False,False,False,True,False
90,within_1sigma,0.1161763620670236,1,BAD CREDIT RISK,1,BAD CREDIT RISK,True,0.6761763620670237,0.3238236379329763,0.6761763620670237,60.0,6288.0,4.0,42.0,1.0,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False
24,within_1sigma,0.1209285210400336,0,GOOD CREDIT RISK,0,GOOD CREDIT RISK,True,0.4390714789599664,0.5609285210400335,0.4390714789599664,18.0,1795.0,3.0,48.0,2.0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,True
178,within_1sigma,0.1260642893687246,1,BAD CREDIT RISK,1,BAD CREDIT RISK,True,0.6860642893687247,0.3139357106312753,0.6860642893687247,48.0,6224.0,4.0,50.0,1.0,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,True,False,False,True,False
63,within_1sigma,0.126664425428034,1,BAD CREDIT RISK,1,BAD CREDIT RISK,True,0.6866644254280341,0.3133355745719659,0.6866644254280341,24.0,11328.0,2.0,29.0,2.0,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,True,False,False,False,True,False
48,within_1sigma,0.1276400116734396,0,GOOD CREDIT RISK,0,GOOD CREDIT RISK,True,0.4323599883265604,0.5676400116734396,0.4323599883265604,12.0,1262.0,2.0,49.0,1.0,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,True,True,False
145,within_1sigma,0.1324508194177749,1,BAD CREDIT RISK,1,BAD CREDIT RISK,True,0.692450819417775,0.307549180582225,0.692450819417775,12.0,759.0,4.0,26.0,1.0,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False
33,within_1sigma,0.1360049674783777,1,BAD CREDIT RISK,1,BAD CREDIT RISK,True,0.6960049674783778,0.3039950325216222,0.6960049674783778,48.0,15672.0,2.0,23.0,1.0,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False,False,True,False
92,within_1sigma,0.1397583032253301,0,GOOD CREDIT RISK,0,GOOD CREDIT RISK,True,0.4202416967746699,0.5797583032253301,0.4202416967746699,6.0,1050.0,4.0,35.0,2.0,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,True,False,False,False,True,False
