checking_status,duration,credit_history,purpose,credit_amount,savings_status,employment,installment_commitment,personal_status,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,class
1,6.0,5,4,1169.0,5,5,4.0,3,1,4.0,1,67.0,none,own,2.0,skilled,1.0,yes,yes,good
2,48.0,3,4,5951.0,1,3,2.0,2,1,2.0,1,22.0,none,own,1.0,skilled,1.0,none,yes,bad
4,12.0,5,7,2096.0,1,4,2.0,3,1,3.0,1,49.0,none,own,1.0,unskilled resident,2.0,none,yes,good
1,42.0,3,3,7882.0,1,4,2.0,3,3,4.0,2,45.0,none,for free,1.0,skilled,2.0,none,yes,good
1,24.0,4,1,4870.0,1,3,3.0,3,1,4.0,4,53.0,none,for free,2.0,skilled,2.0,none,yes,bad
4,36.0,3,7,9055.0,5,3,2.0,3,1,4.0,4,35.0,none,for free,1.0,unskilled resident,2.0,yes,yes,good
4,24.0,3,3,2835.0,3,5,3.0,3,1,4.0,2,53.0,none,own,1.0,skilled,1.0,none,yes,good
2,36.0,3,2,6948.0,1,3,2.0,3,1,2.0,3,35.0,none,rent,1.0,high qualif/self emp/mgmt,1.0,yes,yes,good
4,12.0,3,4,3059.0,4,4,2.0,1,1,4.0,1,61.0,none,own,1.0,unskilled resident,1.0,none,yes,good
2,30.0,5,1,5234.0,1,1,4.0,4,1,2.0,3,28.0,none,own,2.0,high qualif/self emp/mgmt,1.0,none,yes,bad
2,12.0,3,1,1295.0,1,2,3.0,2,1,1.0,3,25.0,none,rent,1.0,skilled,1.0,none,yes,bad
1,48.0,3,9,4308.0,1,2,3.0,2,1,4.0,2,24.0,none,rent,1.0,skilled,1.0,none,yes,bad
2,12.0,3,4,1567.0,1,3,1.0,2,1,1.0,3,22.0,none,own,1.0,skilled,1.0,yes,yes,good
1,24.0,5,1,1199.0,1,5,4.0,3,1,4.0,3,60.0,none,own,2.0,unskilled resident,1.0,none,yes,bad
1,15.0,3,1,1403.0,1,3,2.0,2,1,4.0,3,28.0,none,rent,1.0,skilled,1.0,none,yes,good
1,24.0,3,4,1282.0,2,3,4.0,2,1,2.0,3,32.0,none,own,1.0,unskilled resident,1.0,none,yes,bad
4,24.0,5,4,2424.0,5,5,4.0,3,1,4.0,2,53.0,none,own,2.0,skilled,1.0,none,yes,good
1,30.0,1,9,8072.0,5,2,2.0,3,1,3.0,3,25.0,bank,own,3.0,skilled,1.0,none,yes,good
2,24.0,3,2,12579.0,1,5,4.0,2,1,2.0,4,44.0,none,for free,1.0,high qualif/self emp/mgmt,1.0,yes,yes,bad
4,24.0,3,4,3430.0,3,5,3.0,3,1,2.0,3,31.0,none,own,1.0,skilled,2.0,yes,yes,good
4,9.0,5,1,2134.0,1,3,4.0,3,1,4.0,3,48.0,none,own,3.0,skilled,1.0,yes,yes,good
1,6.0,3,4,2647.0,3,3,2.0,3,1,3.0,1,44.0,none,rent,1.0,skilled,2.0,none,yes,good
1,10.0,5,1,2241.0,1,2,1.0,3,1,3.0,1,48.0,none,rent,2.0,unskilled resident,2.0,none,no,good
2,12.0,5,2,1804.0,2,2,3.0,3,1,4.0,2,44.0,none,own,1.0,skilled,1.0,none,yes,good
4,10.0,5,3,2069.0,5,3,2.0,4,1,1.0,3,26.0,none,own,2.0,skilled,1.0,none,no,good
1,6.0,3,3,1374.0,1,3,1.0,3,1,2.0,1,36.0,bank,own,1.0,unskilled resident,1.0,yes,yes,good
4,6.0,1,4,426.0,1,5,4.0,4,1,4.0,3,39.0,none,own,1.0,unskilled resident,1.0,none,yes,good
3,12.0,2,4,409.0,4,3,3.0,2,1,3.0,1,42.0,none,rent,2.0,skilled,1.0,none,yes,good
2,7.0,3,4,2415.0,1,3,3.0,3,3,2.0,1,34.0,none,own,1.0,skilled,1.0,none,yes,good
1,60.0,4,9,6836.0,1,5,3.0,3,1,4.0,4,63.0,none,own,2.0,skilled,1.0,yes,yes,bad
2,18.0,3,9,1913.0,4,2,3.0,4,1,3.0,1,36.0,bank,own,1.0,skilled,1.0,yes,yes,good
1,24.0,3,3,4020.0,1,3,2.0,3,1,2.0,3,27.0,stores,own,1.0,skilled,1.0,none,yes,good
2,18.0,3,1,5866.0,2,3,2.0,3,1,2.0,3,30.0,none,own,2.0,skilled,1.0,yes,yes,good
4,12.0,5,9,1264.0,5,5,4.0,3,1,4.0,4,57.0,none,rent,1.0,unskilled resident,1.0,none,yes,good
3,12.0,3,3,1474.0,1,2,4.0,2,1,1.0,2,33.0,bank,own,1.0,high qualif/self emp/mgmt,1.0,yes,yes,good
2,45.0,5,4,4746.0,1,2,4.0,3,1,2.0,2,25.0,none,own,2.0,unskilled resident,1.0,none,yes,bad
4,48.0,5,7,6110.0,1,3,1.0,3,1,3.0,4,31.0,bank,for free,1.0,skilled,1.0,yes,yes,good
3,18.0,3,4,2100.0,1,3,4.0,3,2,2.0,1,37.0,stores,own,1.0,skilled,1.0,none,yes,bad
3,10.0,3,5,1225.0,1,3,2.0,3,1,2.0,3,37.0,none,own,1.0,skilled,1.0,yes,yes,good
2,9.0,3,4,458.0,1,3,4.0,3,1,3.0,1,24.0,none,own,1.0,skilled,1.0,none,yes,good
4,30.0,3,4,2333.0,3,5,4.0,3,1,2.0,3,30.0,bank,own,1.0,high qualif/self emp/mgmt,1.0,none,yes,good
2,12.0,3,4,1158.0,3,3,3.0,1,1,1.0,3,26.0,none,own,1.0,skilled,1.0,yes,yes,good
2,18.0,4,6,6204.0,1,3,2.0,3,1,4.0,1,44.0,none,own,1.0,unskilled resident,2.0,yes,yes,good
1,30.0,5,2,6187.0,2,4,1.0,4,1,4.0,3,24.0,none,rent,2.0,skilled,1.0,none,yes,good
1,48.0,5,2,6143.0,1,5,4.0,2,1,4.0,4,58.0,stores,for free,2.0,unskilled resident,1.0,none,yes,bad
4,11.0,5,1,1393.0,1,2,4.0,2,1,4.0,3,35.0,none,own,2.0,high qualif/self emp/mgmt,1.0,none,yes,good
4,36.0,3,4,2299.0,3,5,4.0,3,1,4.0,3,39.0,none,own,1.0,skilled,1.0,none,yes,good
1,6.0,3,2,1352.0,3,1,1.0,2,1,2.0,2,23.0,none,rent,1.0,unemp/unskilled non res,1.0,yes,yes,good
4,11.0,5,1,7228.0,1,3,1.0,3,1,4.0,2,39.0,none,own,2.0,unskilled resident,1.0,none,yes,good
4,12.0,3,4,2073.0,2,3,4.0,2,2,2.0,1,28.0,none,own,1.0,skilled,1.0,none,yes,good
2,24.0,4,3,2333.0,5,2,4.0,3,1,2.0,2,29.0,bank,own,1.0,unskilled resident,1.0,none,yes,good
2,27.0,4,2,5965.0,1,5,1.0,3,1,2.0,3,30.0,none,own,2.0,high qualif/self emp/mgmt,1.0,yes,yes,good
4,12.0,3,4,1262.0,1,3,3.0,3,1,2.0,3,25.0,none,own,1.0,skilled,1.0,none,yes,good
4,18.0,3,2,3378.0,5,3,2.0,3,1,1.0,2,31.0,none,own,1.0,skilled,1.0,yes,yes,good
2,36.0,4,1,2225.0,1,5,4.0,3,1,4.0,4,57.0,bank,for free,2.0,skilled,1.0,yes,yes,bad
4,6.0,2,1,783.0,5,3,1.0,3,3,2.0,1,26.0,stores,own,1.0,unskilled resident,2.0,none,yes,good
2,12.0,3,4,6468.0,5,1,2.0,3,1,1.0,4,52.0,none,own,1.0,high qualif/self emp/mgmt,1.0,yes,yes,bad
4,36.0,5,4,9566.0,1,3,2.0,2,1,2.0,3,31.0,stores,own,2.0,skilled,1.0,none,yes,good
3,18.0,3,1,1961.0,1,5,3.0,2,1,2.0,3,23.0,none,own,1.0,high qualif/self emp/mgmt,1.0,none,yes,good
1,36.0,5,3,6229.0,1,2,4.0,2,2,4.0,4,23.0,none,rent,2.0,unskilled resident,1.0,yes,yes,bad
2,9.0,3,9,1391.0,1,3,2.0,4,1,1.0,1,27.0,bank,own,1.0,skilled,1.0,yes,yes,good
2,15.0,5,4,1537.0,5,5,4.0,3,3,4.0,1,50.0,none,own,2.0,skilled,1.0,yes,yes,good
2,36.0,1,9,1953.0,1,5,4.0,3,1,4.0,4,61.0,none,for free,1.0,high qualif/self emp/mgmt,1.0,yes,yes,bad
2,48.0,1,9,14421.0,1,3,2.0,3,1,2.0,3,25.0,none,own,1.0,skilled,1.0,yes,yes,bad
4,24.0,3,4,3181.0,1,2,4.0,2,1,4.0,2,26.0,none,own,1.0,skilled,1.0,yes,yes,good
4,27.0,3,6,5190.0,5,5,4.0,3,1,4.0,2,48.0,none,own,4.0,skilled,2.0,yes,yes,good
4,12.0,3,4,2171.0,1,2,2.0,2,1,2.0,3,29.0,bank,own,1.0,skilled,1.0,none,yes,good
2,12.0,3,1,1007.0,4,3,4.0,4,1,1.0,1,22.0,none,own,1.0,skilled,1.0,none,yes,good
4,36.0,3,7,1819.0,1,3,4.0,3,1,4.0,4,37.0,stores,for free,1.0,skilled,1.0,yes,yes,bad
4,36.0,3,4,2394.0,5,3,4.0,2,1,4.0,3,25.0,none,own,1.0,skilled,1.0,none,yes,good
4,36.0,3,2,8133.0,1,3,1.0,2,1,2.0,2,30.0,bank,own,1.0,skilled,1.0,none,yes,good
4,7.0,5,4,730.0,5,5,4.0,3,1,2.0,2,46.0,none,rent,2.0,unskilled resident,1.0,yes,yes,good
1,8.0,5,10,1164.0,1,5,3.0,3,1,4.0,4,51.0,bank,for free,2.0,high qualif/self emp/mgmt,2.0,yes,yes,good
2,42.0,5,9,5954.0,1,4,2.0,2,1,1.0,1,41.0,bank,own,2.0,unskilled resident,1.0,none,yes,good
1,36.0,3,7,1977.0,5,5,4.0,3,1,4.0,4,40.0,none,own,1.0,high qualif/self emp/mgmt,1.0,yes,yes,bad
1,12.0,5,2,1526.0,1,5,4.0,3,1,4.0,4,66.0,none,for free,2.0,high qualif/self emp/mgmt,1.0,none,yes,good
1,42.0,3,4,3965.0,1,2,4.0,3,1,3.0,3,34.0,none,own,1.0,skilled,1.0,none,yes,bad
2,11.0,4,4,4771.0,1,4,2.0,3,1,4.0,2,51.0,none,own,1.0,skilled,1.0,none,yes,good
4,54.0,1,2,9436.0,5,3,2.0,3,1,2.0,2,39.0,none,own,1.0,unskilled resident,2.0,none,yes,good
2,30.0,3,3,3832.0,1,2,2.0,4,1,1.0,2,22.0,none,own,1.0,skilled,1.0,none,yes,good
4,24.0,3,4,5943.0,5,2,1.0,2,1,1.0,3,44.0,none,own,2.0,skilled,1.0,yes,yes,bad
4,15.0,3,4,1213.0,3,5,4.0,3,1,3.0,2,47.0,stores,own,1.0,skilled,1.0,yes,yes,good
4,18.0,3,9,1568.0,2,3,3.0,2,1,4.0,2,24.0,none,rent,1.0,unskilled resident,1.0,none,yes,good
1,24.0,3,10,1755.0,1,5,4.0,2,3,4.0,1,58.0,none,own,1.0,unskilled resident,1.0,yes,yes,good
1,10.0,3,4,2315.0,1,5,3.0,3,1,4.0,1,52.0,none,own,1.0,unskilled resident,1.0,none,yes,good
4,12.0,5,9,1412.0,1,3,4.0,2,3,2.0,1,29.0,none,own,2.0,high qualif/self emp/mgmt,1.0,yes,yes,good
2,18.0,5,3,1295.0,1,2,4.0,2,1,1.0,2,27.0,none,own,2.0,skilled,1.0,none,yes,good
2,36.0,3,7,12612.0,2,3,1.0,3,1,4.0,4,47.0,none,for free,1.0,skilled,2.0,yes,yes,bad
1,18.0,3,1,2249.0,2,4,4.0,3,1,3.0,3,30.0,none,own,1.0,high qualif/self emp/mgmt,2.0,yes,yes,good
1,12.0,1,6,1108.0,1,4,4.0,3,1,3.0,1,28.0,none,own,2.0,skilled,1.0,none,yes,bad
4,12.0,5,4,618.0,1,5,4.0,3,1,4.0,1,56.0,none,own,1.0,skilled,1.0,none,yes,good
1,12.0,5,2,1409.0,1,5,4.0,3,1,3.0,1,54.0,none,own,1.0,skilled,1.0,none,yes,good
4,12.0,5,4,797.0,5,5,4.0,2,1,3.0,2,33.0,bank,own,1.0,unskilled resident,2.0,none,yes,bad
3,24.0,5,3,3617.0,5,5,4.0,3,2,4.0,4,20.0,none,rent,2.0,skilled,1.0,none,yes,good
2,12.0,3,1,1318.0,4,5,4.0,3,1,4.0,1,54.0,none,own,1.0,skilled,1.0,yes,yes,good
2,54.0,1,9,15945.0,1,2,3.0,3,1,4.0,4,58.0,none,rent,1.0,skilled,1.0,yes,yes,bad
4,12.0,5,7,2012.0,5,4,4.0,2,1,2.0,3,61.0,none,own,1.0,skilled,1.0,none,yes,good
2,18.0,3,9,2622.0,2,3,4.0,3,1,4.0,3,34.0,none,own,1.0,skilled,1.0,none,yes,good
2,36.0,5,4,2337.0,1,5,4.0,3,1,4.0,1,36.0,none,own,1.0,skilled,1.0,none,yes,good
2,20.0,4,2,7057.0,5,4,3.0,3,1,4.0,2,36.0,bank,rent,2.0,high qualif/self emp/mgmt,2.0,yes,yes,good
4,24.0,3,1,1469.0,2,5,4.0,4,1,4.0,1,41.0,none,rent,1.0,unskilled resident,1.0,none,yes,good
2,36.0,3,4,2323.0,1,4,4.0,3,1,4.0,3,24.0,none,rent,1.0,skilled,1.0,none,yes,good
4,6.0,4,4,932.0,1,3,3.0,2,1,2.0,1,24.0,none,own,1.0,skilled,1.0,none,yes,good
2,9.0,5,3,1919.0,1,4,4.0,3,1,3.0,3,35.0,none,rent,1.0,skilled,1.0,yes,yes,good
4,12.0,3,2,2445.0,5,2,2.0,4,1,4.0,3,26.0,none,rent,1.0,skilled,1.0,yes,yes,good
2,24.0,5,10,11938.0,1,3,2.0,3,2,3.0,3,39.0,none,own,2.0,high qualif/self emp/mgmt,2.0,yes,yes,bad
4,18.0,2,1,6458.0,1,5,2.0,3,1,4.0,4,39.0,bank,own,2.0,high qualif/self emp/mgmt,2.0,yes,yes,bad
2,12.0,3,1,6078.0,1,4,2.0,3,1,2.0,3,32.0,none,own,1.0,skilled,1.0,none,yes,good
1,24.0,3,3,7721.0,5,2,1.0,2,1,2.0,2,30.0,none,own,1.0,skilled,1.0,yes,no,good
2,14.0,3,9,1410.0,3,5,1.0,4,1,2.0,1,35.0,none,own,1.0,skilled,1.0,yes,yes,good
2,6.0,4,9,1449.0,2,5,1.0,1,1,2.0,3,31.0,bank,own,2.0,skilled,2.0,none,yes,good
3,15.0,3,7,392.0,1,2,4.0,2,1,4.0,2,23.0,none,rent,1.0,skilled,1.0,yes,yes,good
2,18.0,3,1,6260.0,1,4,3.0,3,1,3.0,1,28.0,none,rent,1.0,unskilled resident,1.0,none,yes,good
4,36.0,5,1,7855.0,1,3,4.0,2,1,2.0,1,25.0,stores,own,2.0,skilled,1.0,yes,yes,bad
1,12.0,3,4,1680.0,3,5,3.0,4,1,1.0,1,35.0,none,own,1.0,skilled,1.0,none,yes,good
4,48.0,5,4,3578.0,5,5,4.0,3,1,1.0,1,47.0,none,own,1.0,skilled,1.0,yes,yes,good
1,42.0,3,4,7174.0,5,4,4.0,2,1,3.0,3,30.0,none,own,1.0,high qualif/self emp/mgmt,1.0,yes,yes,bad
1,10.0,5,3,2132.0,5,2,2.0,2,2,3.0,1,27.0,none,rent,2.0,skilled,1.0,none,no,good
1,33.0,5,3,4281.0,3,3,1.0,2,1,4.0,3,23.0,none,own,2.0,skilled,1.0,none,yes,bad
2,12.0,5,1,2366.0,3,4,3.0,1,1,3.0,3,36.0,none,own,1.0,high qualif/self emp/mgmt,1.0,yes,yes,good
1,21.0,3,4,1835.0,1,3,3.0,2,1,2.0,1,25.0,none,own,2.0,skilled,1.0,yes,yes,bad
4,24.0,5,2,3868.0,1,5,4.0,2,1,2.0,3,41.0,none,rent,2.0,high qualif/self emp/mgmt,1.0,yes,yes,good
4,12.0,3,3,1768.0,1,3,3.0,3,1,2.0,1,24.0,none,rent,1.0,unskilled resident,1.0,none,yes,good
3,10.0,5,1,781.0,1,5,4.0,3,1,4.0,4,63.0,none,for free,2.0,skilled,1.0,yes,yes,good
2,18.0,3,3,1924.0,5,2,4.0,2,1,3.0,1,27.0,none,rent,1.0,skilled,1.0,none,yes,bad
1,12.0,5,1,2121.0,1,3,4.0,3,1,2.0,2,30.0,none,own,2.0,skilled,1.0,none,yes,good
1,12.0,3,4,701.0,1,3,4.0,4,1,2.0,1,40.0,none,own,1.0,unskilled resident,1.0,none,yes,good
2,12.0,3,6,639.0,1,3,4.0,3,1,2.0,3,30.0,none,own,1.0,skilled,1.0,none,yes,bad
2,12.0,5,2,1860.0,1,1,4.0,3,1,2.0,3,34.0,none,own,2.0,high qualif/self emp/mgmt,1.0,yes,yes,good
1,12.0,5,1,3499.0,1,3,3.0,2,2,2.0,1,29.0,none,own,2.0,skilled,1.0,none,yes,bad
2,48.0,3,1,8487.0,5,4,1.0,2,1,2.0,3,24.0,none,own,1.0,skilled,1.0,none,yes,good
1,36.0,4,7,6887.0,1,3,4.0,3,1,3.0,2,29.0,stores,own,1.0,skilled,1.0,yes,yes,bad
4,15.0,3,3,2708.0,1,2,2.0,3,1,3.0,2,27.0,bank,own,2.0,unskilled resident,1.0,none,yes,good
4,18.0,3,3,1984.0,1,3,4.0,3,1,4.0,4,47.0,bank,for free,2.0,skilled,1.0,none,yes,good
4,60.0,3,4,10144.0,2,4,2.0,2,1,4.0,1,21.0,none,own,1.0,skilled,1.0,yes,yes,good
4,12.0,5,4,1240.0,5,5,4.0,2,1,2.0,1,38.0,none,own,2.0,skilled,1.0,yes,yes,good
4,27.0,4,2,8613.0,4,3,2.0,3,1,2.0,3,27.0,none,own,2.0,skilled,1.0,none,yes,good
2,12.0,3,4,766.0,3,3,4.0,3,1,3.0,1,66.0,none,own,1.0,unskilled resident,1.0,none,yes,bad
2,15.0,5,4,2728.0,5,4,4.0,3,3,2.0,1,35.0,bank,own,3.0,skilled,1.0,yes,yes,good
3,12.0,3,4,1881.0,1,3,2.0,2,1,2.0,3,44.0,none,rent,1.0,unskilled resident,1.0,yes,yes,good
3,6.0,3,1,709.0,4,2,2.0,4,1,2.0,1,27.0,none,own,1.0,unemp/unskilled non res,1.0,none,no,good
2,36.0,3,4,4795.0,1,2,4.0,2,1,1.0,4,30.0,none,own,1.0,high qualif/self emp/mgmt,1.0,yes,yes,good
1,27.0,3,4,3416.0,1,3,3.0,3,1,2.0,3,27.0,none,own,1.0,high qualif/self emp/mgmt,1.0,none,yes,good
1,18.0,3,3,2462.0,1,3,2.0,3,1,2.0,3,22.0,none,own,1.0,skilled,1.0,none,yes,bad
4,21.0,5,3,2288.0,1,2,4.0,2,1,4.0,2,23.0,none,own,1.0,skilled,1.0,yes,yes,good
2,48.0,2,9,3566.0,2,4,4.0,3,1,2.0,3,30.0,none,own,1.0,skilled,1.0,none,yes,good
1,6.0,5,1,860.0,1,5,1.0,2,1,4.0,4,39.0,none,own,2.0,skilled,1.0,yes,yes,good
4,12.0,5,1,682.0,2,4,4.0,2,1,3.0,3,51.0,none,own,2.0,skilled,1.0,yes,yes,good
1,36.0,5,3,5371.0,1,3,3.0,3,3,2.0,2,28.0,none,own,2.0,skilled,1.0,none,yes,good
4,18.0,5,4,1582.0,4,5,4.0,3,1,4.0,3,46.0,none,own,2.0,skilled,1.0,none,yes,good
4,6.0,3,4,1346.0,2,5,2.0,3,1,4.0,4,42.0,bank,for free,1.0,skilled,2.0,yes,yes,good
4,10.0,3,4,1924.0,1,3,1.0,3,1,4.0,2,38.0,none,own,1.0,skilled,1.0,yes,no,good
3,36.0,3,4,5848.0,1,3,4.0,3,1,1.0,3,24.0,none,own,1.0,skilled,1.0,none,yes,good
2,24.0,5,2,7758.0,4,5,2.0,2,1,4.0,4,29.0,none,rent,1.0,skilled,1.0,none,yes,good
2,24.0,4,9,6967.0,2,4,4.0,3,1,4.0,3,36.0,none,rent,1.0,high qualif/self emp/mgmt,1.0,yes,yes,good
1,12.0,3,3,1282.0,1,3,2.0,2,1,4.0,3,20.0,none,rent,1.0,skilled,1.0,none,yes,bad
1,9.0,5,6,1288.0,2,5,3.0,3,3,4.0,1,48.0,none,own,2.0,skilled,2.0,none,no,good
1,12.0,2,8,339.0,1,5,4.0,4,1,1.0,3,45.0,bank,own,1.0,unskilled resident,1.0,none,yes,good
2,24.0,3,1,3512.0,2,4,2.0,3,1,3.0,3,38.0,bank,own,2.0,skilled,1.0,yes,yes,good
4,6.0,5,4,1898.0,5,3,1.0,3,1,2.0,1,34.0,none,own,2.0,unskilled resident,2.0,none,yes,good
4,24.0,5,4,2872.0,2,5,3.0,3,1,4.0,1,36.0,none,own,1.0,skilled,2.0,yes,yes,good
4,18.0,5,1,1055.0,1,2,4.0,2,1,1.0,2,30.0,none,own,2.0,skilled,1.0,none,yes,good
4,15.0,3,5,1262.0,3,4,4.0,3,1,3.0,2,36.0,none,own,2.0,skilled,1.0,yes,yes,good
2,10.0,3,1,7308.0,1,1,2.0,3,1,4.0,4,70.0,bank,for free,1.0,high qualif/self emp/mgmt,1.0,yes,yes,good
4,36.0,3,1,909.0,3,5,4.0,3,1,4.0,2,36.0,none,own,1.0,skilled,1.0,none,yes,good
4,6.0,3,3,2978.0,3,3,1.0,3,1,2.0,3,32.0,none,own,1.0,skilled,1.0,yes,yes,good
1,18.0,3,3,1131.0,1,1,4.0,2,1,2.0,3,33.0,none,own,1.0,skilled,1.0,none,yes,bad
2,11.0,3,3,1577.0,4,2,4.0,2,1,1.0,1,20.0,none,own,1.0,skilled,1.0,none,yes,good
4,24.0,3,3,3972.0,1,4,2.0,2,1,4.0,2,25.0,none,rent,1.0,skilled,1.0,yes,yes,good
2,24.0,5,9,1935.0,1,5,4.0,1,1,4.0,1,31.0,none,own,2.0,skilled,1.0,yes,yes,bad
1,15.0,1,1,950.0,1,5,4.0,3,1,3.0,3,33.0,none,rent,2.0,skilled,2.0,none,yes,bad
4,12.0,3,3,763.0,1,3,4.0,2,1,1.0,1,26.0,none,own,1.0,skilled,1.0,yes,yes,good
2,24.0,4,3,2064.0,1,1,3.0,2,1,2.0,2,34.0,none,own,1.0,high qualif/self emp/mgmt,1.0,yes,yes,bad
2,8.0,3,4,1414.0,1,3,4.0,3,3,2.0,1,33.0,none,own,1.0,skilled,1.0,none,no,good
1,21.0,4,7,3414.0,1,2,2.0,3,1,1.0,2,26.0,none,own,2.0,skilled,1.0,none,yes,bad
4,30.0,2,2,7485.0,5,1,4.0,2,1,1.0,1,53.0,bank,own,1.0,high qualif/self emp/mgmt,1.0,yes,yes,bad
1,12.0,3,3,2577.0,1,3,2.0,1,1,1.0,3,42.0,none,own,1.0,skilled,1.0,none,yes,good
1,6.0,5,4,338.0,3,5,4.0,3,1,4.0,3,52.0,none,own,2.0,skilled,1.0,none,yes,good
4,12.0,3,4,1963.0,1,4,4.0,3,1,2.0,3,31.0,none,rent,2.0,high qualif/self emp/mgmt,2.0,yes,yes,good
1,21.0,5,1,571.0,1,5,4.0,3,1,4.0,1,65.0,none,own,2.0,skilled,1.0,none,yes,good
4,36.0,4,9,9572.0,1,2,1.0,1,1,1.0,3,28.0,none,own,2.0,skilled,1.0,none,yes,bad
2,36.0,4,9,4455.0,1,3,2.0,1,1,2.0,1,30.0,stores,own,2.0,high qualif/self emp/mgmt,1.0,yes,yes,bad
1,21.0,2,1,1647.0,5,3,4.0,3,1,2.0,2,40.0,none,own,2.0,unskilled resident,2.0,none,yes,bad
4,24.0,5,3,3777.0,4,3,4.0,3,1,4.0,1,50.0,none,own,1.0,skilled,1.0,yes,yes,good
2,18.0,5,1,884.0,1,5,4.0,3,1,4.0,3,36.0,bank,own,1.0,skilled,2.0,yes,yes,bad
4,15.0,5,4,1360.0,1,3,4.0,3,1,2.0,2,31.0,none,own,2.0,skilled,1.0,none,yes,good
2,9.0,2,2,5129.0,1,5,2.0,2,1,4.0,4,74.0,bank,for free,1.0,high qualif/self emp/mgmt,2.0,yes,yes,bad
2,16.0,5,1,1175.0,1,1,2.0,3,1,3.0,3,68.0,none,for free,3.0,unemp/unskilled non res,1.0,yes,yes,good
1,12.0,3,4,674.0,2,4,4.0,4,1,1.0,2,20.0,none,own,1.0,skilled,1.0,none,yes,bad
2,18.0,1,3,3244.0,1,3,1.0,2,1,4.0,3,33.0,bank,own,2.0,skilled,1.0,yes,yes,good
4,24.0,3,9,4591.0,4,3,2.0,3,1,3.0,2,54.0,none,own,3.0,high qualif/self emp/mgmt,1.0,yes,yes,bad
2,48.0,1,9,3844.0,2,4,4.0,3,1,4.0,4,34.0,none,for free,1.0,unskilled resident,2.0,none,yes,bad
2,27.0,3,9,3915.0,1,3,4.0,3,1,2.0,3,36.0,none,own,1.0,skilled,2.0,yes,yes,bad
4,6.0,3,4,2108.0,1,4,2.0,4,1,2.0,1,29.0,none,rent,1.0,skilled,1.0,none,yes,good
2,45.0,3,4,3031.0,2,3,4.0,3,3,4.0,2,21.0,none,rent,1.0,skilled,1.0,none,yes,bad
2,9.0,5,7,1501.0,1,5,2.0,2,1,3.0,3,34.0,none,own,2.0,high qualif/self emp/mgmt,1.0,yes,yes,bad
4,6.0,5,4,1382.0,1,3,1.0,2,1,1.0,3,28.0,none,own,2.0,skilled,1.0,yes,yes,good
